doi,year,venue,title,T_task,carbon_treatment,quantified,carbon_in_optimization
10.1007/s42107-026-01700-z,2026,Asian Journal of Civil Engineering,Utilizing long short-term memory deep learning models to predict the compressive strength of geopolymer concre,optimization,emission-factors-quantified,N,N
10.1061/JSDCCC.SCENG-1724,2025,Journal of Structural Design and Construction,Analyzing the Behavior of Geopolymer Concrete with Different Novel Machine-Learning Algorithms,optimization,emission-factors-quantified,N,N
10.1016/j.eswa.2026.133523,2027,Expert Systems with Applications,Explainable stacked ensemble learning and multi-objective optimization for the intelligent design of green and,multi-objective-optimization,carbon-as-objective,N,Y
10.54740/ros.2026.024,2026,Rocznik Ochrona Srodowiska,Data-Driven Prediction of CO2 Emissions in Low-Carbon Geopolymer Concrete Using Integrated Experimental Analys,prediction,emission-factors-quantified,Y,N
10.3390/infrastructures11040138,2026,Infrastructures,"Biochar, Nanomaterials and Recycled Aggregates—Towards Future Sustainable Concrete and Alkali-Activated Materi",optimization,carbon-as-objective,Y,Y
10.1016/j.hybadv.2025.100569,2025,Hybrid Advances,Sustainable geopolymer concrete evaluation using machine learning and PDP analysis: Comparative insights into ,optimization,rhetoric-only,N,N
10.1515/rams-2025-0249,2026,Reviews on Advanced Materials Science,Predicting compressive strength of polyurethane-modified light weight geopolymer bricks using hybrid AI models,optimization,emission-factors-quantified,N,N
10.3390/buildings16010123,2026,Buildings,From Machine Learning to Empirical Modelling: A Structured Framework for Predicting Compressive Strength of Fl,optimization,rhetoric-only,N,N
10.1002/suco.70211,2025,Structural Concrete,Assessing the impact of acid and sulfate exposure on alkali-activated materials using metaheuristic machine le,prediction,emission-factors-quantified,N,N
10.1016/j.oceram.2025.100861,2025,Open Ceramics,Systematic data-driven meta-analysis of class F fly-ash geopolymer concrete,optimization,ISO/boundary-LCA,Y,N
10.1016/j.clema.2024.100258,2024,Cleaner Materials,Using ensemble machine learning and metaheuristic optimization for modelling the elastic modulus of geopolymer,multi-objective-optimization,emission-factors-quantified,N,N
10.1371/journal.pone.0336654,2026,PLOS ONE,Predicting CO2 emissions and strength of FA-SF geopolymer mortar: An ANN approach for sustainable construction,prediction,LCA-performed,Y,Y
10.1007/s43621-025-02447-4,2026,Discover Sustainability,Machine learning optimized dry lean geopolymer concrete with reclaimed asphalt pavement for sustainable paveme,multi-objective-optimization,LCA-performed,Y,N
10.3390/buildings15122081,2025,Buildings,AI-Driven Optimization of Fly Ash-Based Geopolymer Concrete for Sustainable High Strength and CO2 Reduction: A,optimization,LCA-performed,Y,Y
10.1016/j.jece.2025.119847,2025,Journal of Environmental Chemical Engineering,From waste to resource: Upcycling red mud as eco-friendly geopolymer for the circular economy,prediction,LCA-performed,Y,N
10.1016/j.conbuildmat.2025.144257,2025,Construction and Building Materials,NGBoost-based prediction of carbonation in Alkali-activated slag concrete enhanced by metaheuristic algorithms,optimization,rhetoric-only,N,N
10.1016/j.advengsoft.2024.103611,2024,Advances in Engineering Software,Modelling the compressive strength of geopolymer recycled aggregate concrete using ensemble machine learning,inverse-design,rhetoric-only,N,N
10.1080/10589759.2024.2334434,2025,Nondestructive Testing and Evaluation,Utilizing an enhanced machine learning approach for geopolymer concrete analysis,optimization,carbon-as-objective,N,Y
10.1007/s00500-025-10710-z,2025,Soft Computing,Multi-objective prediction of alkali-activated material properties and material parameter design,multi-objective-optimization,rhetoric-only,N,N
10.1016/j.powtec.2025.122082,2026,Powder Technology,Explainable machine learning prediction of compressive strength in ternary industrial waste-based geopolymer g,optimization,rhetoric-only,N,N
10.3390/ma17143540,2024,Materials,Performance Characterization and Composition Design Using Machine Learning and Optimal Technology for Slag–Des,optimization,emission-factors-quantified,N,N
10.1016/j.aei.2025.103982,2026,Advanced Engineering Informatics,Interpretable AI-driven framework for sustainable modification of dredged sludge: A knowledge-guided approach ,optimization,emission-factors-quantified,Y,N
10.3390/ma19102168,2026,Materials,Ant Colony Optimization-Driven Ensemble Learning for Carbon Emission Modelling in Fly Ash–Slag Geopolymer Conc,optimization,rhetoric-only,N,N
10.1371/journal.pone.0310422,2024,PLOS ONE,Compressive strength prediction and low-carbon optimization of fly ash geopolymer concrete based on big data a,optimization,LCA-performed,Y,Y
10.1016/j.rineng.2024.102158,2024,Results in Engineering,Harmonizing smart technologies with building resilience and sustainable built environment systems,prediction,emission-factors-quantified,Y,N
10.3390/buildings14123998,2024,Buildings,Digital Industrial Design Method in Architectural Design by Machine Learning Optimization: Towards Sustainable,optimization,emission-factors-quantified,N,N
10.1038/s41598-024-54513-y,2024,Scientific Reports,Estimation of compressive strength of waste concrete utilizing fly ash/slag in concrete with interpretable app,optimization,rhetoric-only,N,N
10.1016/j.mtcomm.2024.109599,2024,Materials Today Communications,Multi-objective optimization of ternary geopolymers with multiple solid wastes,multi-objective-optimization,carbon-as-objective,N,Y
10.1061/JMCEE7.MTENG-23191,2026,Journal of Materials in Civil Engineering,Predicting Freeze-Thaw Resistance in Geopolymer Concrete: Interpretable ML Model with Practical Deployment,optimization,emission-factors-quantified,Y,N
10.1038/s41598-026-44832-7,2026,Scientific Reports,Recycling waste concrete into alkali-activated geo-binders for sand stabilization,prediction,LCA-performed,N,N
10.1007/s00521-025-11191-9,2025,Neural Computing and Applications,Multi-objective optimization and predictive analytics of strength and embodied impacts of CDW-based geopolymer,multi-objective-optimization,carbon-as-objective,Y,Y
10.1038/s41598-025-18666-8,2025,Scientific Reports,Explainable automl and multi-objective optimization for sustainable high-performance geopolymer concrete,multi-objective-optimization,carbon-as-objective,Y,Y
10.1016/j.conbuildmat.2025.144380,2025,Construction and Building Materials,"Optimization of Fly ash-slag based geopolymer strength, cost, and carbon emissions using CNN-based RSM and NSG",multi-objective-optimization,carbon-as-objective,N,Y
10.1016/j.rineng.2025.105537,2025,Results in Engineering,Prediction of geopolymer concrete compressive strength using artificial neural network and genetic algorithm,optimization,rhetoric-only,N,N
10.28991/CEJ-2025-011-04-020,2025,Civil Engineering Journal (Iran),Modeling the Compressive Strength of Metakaolin-Based Self-Healing Geopolymer Concrete Using Machine Learning ,optimization,rhetoric-only,N,N
10.1038/s41598-026-43052-3,2026,Scientific Reports,"Integrated experimental, machine learning, and life-cycle assessment of fly ash–silica fume based self-compact",optimization,LCA-performed,N,N
10.1007/s10668-025-06957-z,2025,"Environment, Development and Sustainability",Optimization of compressive strength and carbon footprint in fly ash geopolymer concrete using metaheuristic a,multi-objective-optimization,carbon-as-objective,Y,Y
10.1016/j.conbuildmat.2024.136013,2024,Construction and Building Materials,"Multi-performance optimization of low-carbon geopolymer considering mechanical, cost, and CO2 emission based o",multi-objective-optimization,carbon-as-objective,N,Y
10.1016/j.jobe.2023.106577,2023,Journal of Building Engineering,"Mix design optimization for fly ash-based geopolymer with mechanical, environmental, and economic objectives u",multi-objective-optimization,carbon-as-objective,N,Y
10.1016/j.jobe.2023.106929,2023,Journal of Building Engineering,Optimization design for alkali-activated slag-fly ash geopolymer concrete based on artificial intelligence con,optimization,emission-factors-quantified,Y,N
10.12989/scs.2022.45.6.877,2022,Steel and Composite Structures,Compressive strength estimation of eco friendly geopolymer concrete: Application of hybrid machine learning te,optimization,rhetoric-only,N,N
10.3390/su16010142,2024,Sustainability (Switzerland),Neural Network Predictive Models for Alkali-Activated Concrete Carbon Emission Using Metaheuristic Optimizatio,optimization,rhetoric-only,N,N
10.3390/su13137444,2021,Sustainability (Switzerland),Experimental and informational modeling study of sustainable self-compacting geopolymer concrete,optimization,emission-factors-quantified,Y,N
10.1080/21650373.2024.2416962,2024,Journal of Sustainable Cement-Based Materials,Data-driven inverse mix design for sustainable alkali-activated materials,prediction,rhetoric-only,N,N
10.1016/j.jclepro.2022.133382,2022,Journal of Cleaner Production,A generic framework for augmented concrete mix design: Optimisation of geopolymer concrete considering environ,multi-objective-optimization,LCA-performed,Y,Y
10.1016/j.measurement.2022.111916,2022,Measurement: Journal of the International Mea,Fly ash-based geopolymer concrete's compressive strength estimation by applying artificial intelligence method,optimization,emission-factors-quantified,N,N
10.3390/app10217726,2020,Applied Sciences (Switzerland),A machine learning-assisted numerical predictor for compressive strength of geopolymer concrete based on exper,optimization,emission-factors-quantified,N,N
10.1016/j.jece.2023.111835,2024,Journal of Environmental Chemical Engineering,Intelligent optimization for modeling carbon dioxide footprint in fly ash geopolymer concrete: A novel approac,optimization,carbon-as-objective,N,Y
10.3390/ma14092401,2021,Materials,Life-cycle assessment of alkali-activated materials incorporating industrial byproducts,optimization,ISO/boundary-LCA,N,Y
10.3390/su14159573,2022,Sustainability (Switzerland),Multi-Objective Prediction of the Mechanical Properties and Environmental Impact Appraisals of Self-Healing Co,multi-objective-optimization,LCA-performed,Y,N
10.1016/j.jobe.2023.106070,2023,Journal of Building Engineering,"Multi-objective optimization of fly ash-slag based geopolymer considering strength, cost and CO2 emission: A n",multi-objective-optimization,carbon-as-objective,N,Y
10.12989/scs.2024.50.4.443,2024,Steel and Composite Structures,Application of a comparative analysis of random forest programming to predict the strength of environmentally-,optimization,rhetoric-only,N,N
10.3390/ma13235490,2020,Materials,Engineering properties of waste sawdust-based lightweight alkali-activated concrete: Experimental assessment a,prediction,rhetoric-only,N,N
10.1016/j.conbuildmat.2023.131519,2023,Construction and Building Materials,Prediction & optimization of alkali-activated concrete based on the random forest machine learning algorithm,optimization,rhetoric-only,N,N
