id,doi,year,venue,title,cited_by,M_material,T_task,E_env,trust_flags,P_physics,depth_tier,duplicate_of,eligibility_concern
2-s2.0-105033485958,,2025,Journal of Materials and Engineering Structures,Influence of Aggregate Type and Size on Residual Mechanical Properties of Post-Heated Geopolymer Concrete: Experimental Study and Applications of Artificial Neural Networks,1,fly-ash,prediction,none-explicit,none-detected,I(data-driven),STANDARD,,
2-s2.0-105038457489,10.1038/s41598-026-44848-z,2026,Scientific Reports,Mechanical properties analysis of geopolymer concrete based on the sugarcane bagasse ash using machine learning,1,fly-ash;biomass-ash,prediction,none-explicit,none-detected,I(data-driven),STANDARD,,
2-s2.0-85195300809,10.1016/j.conbuildmat.2024.136884,2024,Construction and Building Materials,Investigation of machine learning models in predicting compressive strength for ultra-high-performance geopolymer concrete: A comparative study,86,FA-slag;biomass-ash,prediction,none-explicit,XAI,I(data-driven),STANDARD,,
2-s2.0-85205243487,10.3390/buildings14092748,2024,Buildings,Building Information Modeling and AI Algorithms for Optimizing Energy Performance in Hot Climates: A Comparative Study of Riyadh and Dubai,48,mixed/other-AAM,optimization,none-explicit,XAI,I(data-driven),STANDARD,,
2-s2.0-105000983979,10.1016/j.clwas.2025.100270,2025,Cleaner Waste Systems,"Green optimization of vapour-cured geopolymer mortars: Predicting cost, mechanical properties, and environmental impact with artificial neural networks",6,FA-slag,optimization,carbon;cost,none-detected,I(data-driven),DEEP,,
2-s2.0-105035647078,10.1016/j.istruc.2026.111649,2026,Structures,A critical synthesis on the synergetic effect of hybrid fibers in enhancing concrete properties,1,mixed/other-AAM,prediction,LCA;cost;durability,UQ,I(data-driven),DEEP,,Context-candidate (recode: review article)
2-s2.0-85217747959,10.1016/j.istruc.2025.108323,2025,Structures,Determining equivalent rectangular stress block parameters in geopolymer concrete using multi-gene genetic algorithm-supported models and ML techniques,4,mixed/other-AAM,prediction,none-explicit,none-detected,I(data-driven),STANDARD,,
2-s2.0-105011341541,10.1007/s42107-025-01450-4,2025,Asian Journal of Civil Engineering,Interpretable GA-PSO-optimised deep learning for multi-objective geopolymer concrete strength prediction,20,mixed/other-AAM,multi-objective-optimization,carbon;cost,XAI;UQ,I(data-driven),DEEP,,
2-s2.0-105038446360,10.1038/s41598-026-44193-1,2026,Scientific Reports,Assessment of thermally induced strength loss in alkali-activated concrete through ensemble regression models,5,tailings,prediction,waste-valorization,none-detected,I(data-driven),STANDARD,,
2-s2.0-105023165411,10.1007/s42107-025-01602-6,2026,Asian Journal of Civil Engineering,Analytical and experimental investigation on strength characteristics of one part geopolymer using machine learning models,3,one-part;FA-slag,prediction,none-explicit,XAI,I(data-driven),STANDARD,,
2-s2.0-105033411576,10.1016/j.jobe.2026.115878,2026,Journal of Building Engineering,Multi-objective optimization of mix design for geopolymer foam concrete with industrial solid wastes based on machine learning,0,fly-ash,multi-objective-optimization,carbon;LCA;cost;waste-valorization,none-detected,I(data-driven),DEEP,,
2-s2.0-105043636492,10.1007/s42107-026-01726-3,2026,Asian Journal of Civil Engineering,Performance evaluation and machine learning modeling of geopolymer fly ash masonry bricks,0,fly-ash,prediction,durability,XAI,I(data-driven),STANDARD,,
2-s2.0-85210294088,10.1016/j.jobe.2024.111429,2024,Journal of Building Engineering,Analyzing the compressive strength of one-part geopolymers using experiment and machine learning approaches,13,one-part;slag,prediction,carbon,XAI,I(data-driven),DEEP,,
2-s2.0-105003402939,10.1002/suco.202400552,2025,Structural Concrete,Predictive modeling of compressive strength of geopolymer concrete before and after high temperature applying machine learning algorithms,17,FA-slag,prediction,none-explicit,XAI,I(data-driven),STANDARD,,
2-s2.0-105045254073,10.1007/s43939-026-00821-1,2026,Discover Materials,Chemistry-informed data-driven models for predicting strength of ambient-cured slag and fly ash geopolymer concrete,0,FA-slag,optimization,none-explicit,none-detected,III-claimed(knowledge-guided),DEEP,,
2-s2.0-105010694818,10.1080/14680629.2025.2495705,2026,Road Materials and Pavement Design,"Synergy of industrial wastes in eco-friendly, air-cured alkali activated pavement concrete composites: properties, embodied carbon and energy assessment and modelling",7,slag;recycled-aggregate,prediction,carbon;LCA;waste-valorization,none-detected,I(data-driven),DEEP,,
2-s2.0-105015484338,10.1002/pat.70326,2025,Polymers for Advanced Technologies,Impact of Polyvinyl Alcohol Fibers and Nano-Silica on the Mechanical and Durability Properties of Geopolymer Mortar for Improved Performance in Harsh Environments,2,fly-ash;metakaolin/clay,optimization,durability,none-detected,II(domain-features),STANDARD,,
2-s2.0-85190353334,10.1016/j.compgeo.2024.106322,2024,Computers and Geotechnics,A generic framework for mix design of geopolymer for soil stabilization: Composition-informed machine learning model,16,stabilized-soil,prediction,cost,none-detected,I(data-driven),STANDARD,,
2-s2.0-105036050554,10.1038/s41598-026-39748-1,2026,Scientific Reports,Advanced stacked modeling techniques for material porosity estimation via high-resolution computed tomography imaging,0,mixed/other-AAM,microstructure/image-analysis,none-explicit,none-detected,I(data-driven),STANDARD,,
2-s2.0-105034873256,10.1061/JSDCCC.SCENG-2032,2026,Journal of Structural Design and Construction Practice,Development of an ANN Model for Predicting Optimum Mix Proportion of Fiber-Reinforced Geopolymer Concrete and Assessment of the Model's Prediction Efficiency,0,FA-slag;biomass-ash,optimization,carbon;cost;waste-valorization,ext-val;OOD/transfer,I(data-driven),DEEP,,
2-s2.0-105020376483,10.1007/s11595-025-3171-z,2025,"Journal Wuhan University of Technology, Materials Science Edition",Machine Learning Prediction and Feature Impact Analysis of Durability Performance of Solid Waste-Alkali Activated Cementitious Materials,2,mixed/other-AAM,optimization,waste-valorization;durability,XAI,II(domain-features),STANDARD,,
2-s2.0-105004264026,10.1016/j.engappai.2025.110971,2025,Engineering Applications of Artificial Intelligence,An intelligent hybrid machine learning framework for compressive strength prediction of alkali-activated binders based on fly ash characteristics,11,fly-ash,inverse-design,none-explicit,none-detected,II(domain-features),DEEP,,
2-s2.0-105019795828,10.31436/iiumej.v26i3.3730,2025,IIUM Engineering Journal,MACHINE LEARNING AND RSM FOR STRENGTH FORECASTING IN SUSTAINABLE SCGC,5,mixed/other-AAM,optimization,none-explicit,none-detected,I(data-driven),STANDARD,,
2-s2.0-85202050990,10.1016/j.jclepro.2024.143463,2024,Journal of Cleaner Production,Ensemble machine learning models for predicting the CO2 footprint of GGBFS-based geopolymer concrete,66,slag,optimization,carbon;waste-valorization,none-detected,I(data-driven),DEEP,,
2-s2.0-85200266462,10.1177/13694332241268243,2025,Advances in Structural Engineering,Data-driven axial bearing capacity analysis of steel tubes infilled with rubberized alkali-activated concrete,25,mixed/other-AAM,prediction,none-explicit,XAI,I(data-driven),STANDARD,,
2-s2.0-105018660427,10.1038/s41598-025-19741-w,2025,Scientific Reports,Hybrid machine learning models for predicting the tensile strength of reinforced concrete incorporating nano-engineered and sustainable supplementary cementitious materials,7,mixed/other-AAM,prediction,durability,none-detected,I(data-driven),STANDARD,,
2-s2.0-105012951143,10.1007/s42107-025-01503-8,2026,Asian Journal of Civil Engineering,Optimization of geopolymer concrete mix design using machine learning for enhanced sulphate and chloride resistance,5,mixed/other-AAM,optimization,durability,none-detected,I(data-driven),STANDARD,,
2-s2.0-105033216383,10.1016/j.envres.2026.124283,2026,Environmental Research,Machine learning-based reactivity evaluation of solid wastes and development of a multi-component all-solid waste cementitious material,1,mixed/other-AAM,prediction,carbon;waste-valorization,none-detected,II(domain-features),DEEP,,
2-s2.0-85199317809,10.1007/s40515-024-00435-1,2024,Transportation Infrastructure Geotechnology,Predictive Modeling of Geopolymer Concrete Properties Incorporating Phosphogypsum and Slag Using Machine Learning Algorithms,12,slag,prediction,waste-valorization,none-detected,I(data-driven),STANDARD,,
2-s2.0-105010951060,10.1016/j.cscm.2025.e05065,2025,Case Studies in Construction Materials,Data-driven axial compressive strength investigation of FRP-confined coral aggregate concrete,8,mixed/other-AAM,prediction,none-explicit,XAI,I(data-driven),STANDARD,,
2-s2.0-105041947176,10.1039/d5dd00383k,2026,Digital Discovery,GEOMIND: a hybrid generative artificial intelligence model for geopolymer design and optimization,0,mixed/other-AAM,optimization,none-explicit,none-detected,I(data-driven),STANDARD,,
2-s2.0-105039705730,10.1016/j.dibe.2026.100951,2026,Developments in the Built Environment,Intelligent cost-optimized mix design prediction and engineered strength system for geopolymer concrete: A machine learning-based recommender system,0,slag,inverse-design,cost,ext-val,III-claimed(knowledge-guided),DEEP,,
2-s2.0-105020954508,10.1016/j.rinma.2025.100791,2025,Results in Materials,Prediction and optimization of strength and CO2 emission for geopolymer concrete mix design using machine learning,3,mixed/other-AAM,optimization,carbon,none-detected,I(data-driven),DEEP,,
2-s2.0-105033400440,10.1007/s42107-026-01654-2,2026,Asian Journal of Civil Engineering,Data-driven ensemble machine learning framework for reliable compressive strength prediction of alkali-activated composites,0,FA-slag,optimization,cost,UQ,II(domain-features),DEEP,,
2-s2.0-105026666166,10.1016/j.jclepro.2026.147501,2026,Journal of Cleaner Production,Machine learning-driven multi-objective optimization and dynamic performance prediction of geopolymer concrete,8,FA-slag,multi-objective-optimization,carbon;cost,XAI;OOD/transfer,I(data-driven),DEEP,,
2-s2.0-85205235415,10.3390/buildings14092894,2024,Buildings,Prediction of the Unconfined Compressive Strength of a One-Part Geopolymer-Stabilized Soil Using Deep Learning Methods with Combined Real and Synthetic Data,13,one-part;stabilized-soil,inverse-design,cost,XAI,I(data-driven),DEEP,,
2-s2.0-105044676586,10.1038/s41598-026-52618-0,2026,Scientific Reports,Performance evaluation of fly-ash and silica-fume based geopolymer concrete at different alkaline molarities with machine learning-based strength prediction,0,fly-ash,prediction,waste-valorization;durability,OOD/transfer,I(data-driven),STANDARD,,
2-s2.0-85185457597,10.1080/14488353.2024.2313294,2025,Australian Journal of Civil Engineering,Data-driven approach for sustainable geopolymer mortar production with treated sewage sludge,2,fly-ash,optimization,waste-valorization,none-detected,I(data-driven),STANDARD,,
2-s2.0-105016583963,10.1007/s40996-025-02029-4,2025,Iranian Journal of Science and Technology - Transactions of Civil Engineering,"Performance Evaluation and Statistical Modelling of Glass Waste Powder-Geopolymer Concrete Subjected to Dual Curing Regimes: Strength, Durability, and Predictive Analysis",3,FA-slag,prediction,waste-valorization;durability,none-detected,I(data-driven),STANDARD,,
2-s2.0-105042520862,10.1016/j.jece.2026.123695,2026,Journal of Environmental Chemical Engineering,Multidimensional correlation analysis between the components of solid waste and strength of geopolymer based on statistics and machine learning,0,mixed/other-AAM,optimization,cost;waste-valorization,OOD/transfer,II(domain-features),STANDARD,,
2-s2.0-105000576000,10.1139/cgj-2024-0577,2025,Canadian Geotechnical Journal,Role of calcined-clay-based geopolymers for effective stabilization of expansive soils,9,metakaolin/clay;stabilized-soil,prediction,none-explicit,none-detected,I(data-driven),STANDARD,,
2-s2.0-85197443116,10.1016/j.rineng.2024.102503,2024,Results in Engineering,Eco-friendly mix design of slag-ash-based geopolymer concrete using explainable deep learning,48,slag,classification,carbon,XAI;repro-signal,I(data-driven),DEEP,,
2-s2.0-85207676343,10.3390/cryst14100830,2024,Crystals,Machine Learning to Predict Workability and Compressive Strength of Low- and High-Calcium Fly Ash–Based Geopolymers,17,fly-ash,prediction,none-explicit,none-detected,II(domain-features),STANDARD,,
2-s2.0-85203237429,10.12989/cac.2024.34.3.279,2024,Computers and Concrete,A generalized explainable approach to predict the hardened properties of self-compacting geopolymer concrete using machine learning techniques,9,slag,optimization,none-explicit,XAI,I(data-driven),STANDARD,,
2-s2.0-85218256402,10.1007/s41024-025-00573-0,2025,Journal of Building Pathology and Rehabilitation,"Predicting the strength of alkali-activated masonry blocks using machine learning models: geopolymer mortar with quarry waste, rice husk ash, and eggshell ash",6,biomass-ash,prediction,carbon;waste-valorization,none-detected,I(data-driven),DEEP,,
2-s2.0-105022412798,10.1061/JMCEE7.MTENG-20626,2026,Journal of Materials in Civil Engineering,"Mixture Optimization of Mechanical, Economical, and Environmental Objectives for a Novel Industrial Waste-Based Geopolymer: Combining Ensemble Learning with Metaheuristic Algorithms",1,FA-slag,optimization,cost;waste-valorization,XAI,I(data-driven),STANDARD,,
2-s2.0-105041916976,10.1038/s41598-026-48502-6,2026,Scientific Reports,"Explainable machine learning based optimization of strength, durability, and carbon efficiency of fly ash–GGBS geopolymer concrete",0,FA-slag,optimization,LCA;durability,XAI,II(domain-features),DEEP,,
2-s2.0-105027997734,10.1371/journal.pone.0331706,2026,PLOS ONE,Effect of sodium hydroxide dosage on strength development in cement-fly ash mortars: Experimental and ANN-based prediction,2,fly-ash;biomass-ash,microstructure/image-analysis,none-explicit,none-detected,I(data-driven),STANDARD,,
2-s2.0-85198097710,10.1016/j.conbuildmat.2024.137322,2024,Construction and Building Materials,Evaluation and prediction of slag-based geopolymer's compressive strength using design of experiment (DOE) approach and artificial neural network (ANN) algorithms,11,slag,prediction,none-explicit,none-detected,I(data-driven),STANDARD,,
2-s2.0-105038372722,10.1038/s41598-026-50705-w,2026,Scientific Reports,Comparative evaluation of machine learning and deep learning approaches for compressive strength prediction of geopolymer concrete,1,mixed/other-AAM,optimization,none-explicit,XAI,I(data-driven),STANDARD,,
2-s2.0-85199985096,10.1177/03611981241253612,2024,Transportation Research Record,Can Reclaimed Asphalt Pavement Aggregates be Effectively Utilized in Designing Paving-Grade Geopolymer Concrete? An Experimental Study with Strength Prediction Using Machine Learning Algorithms,2,mixed/other-AAM,prediction,waste-valorization,none-detected,I(data-driven),STANDARD,,
2-s2.0-105021274939,10.1016/j.powtec.2025.121900,2026,Powder Technology,High-fidelity data-driven multi-objective design of class F fly ash–geopolymer concrete,2,fly-ash,multi-objective-optimization,carbon;cost,XAI;ext-val,II(domain-features),DEEP,,
2-s2.0-85215862323,10.1680/jgele.24.00132,2025,Geotechnique Letters,A data-driven method for prediction and design of biomass ash alkali-activated materials,3,biomass-ash,optimization,waste-valorization,none-detected,II(domain-features),STANDARD,,
2-s2.0-105045844603,10.3390/buildings16142843,2026,Buildings,Optimization of Mix Proportions and Random-Forest-Assisted Exploratory Modeling for Alkali-Activated Fly Ash Geopolymer,0,fly-ash,optimization,none-explicit,none-detected,I(data-driven),STANDARD,,
2-s2.0-105036404972,10.1007/s40515-026-00834-6,2026,Transportation Infrastructure Geotechnology,Optimized Gradient Boosting Model for Estimating Unconfined Compressive Strength of Pozzolanic Geopolymer-stabilized Granular Materials Using Pufferfish Algorithm,1,stabilized-soil,optimization,none-explicit,none-detected,I(data-driven),STANDARD,,
2-s2.0-85197742437,10.1007/s11709-024-1039-5,2024,Frontiers of Structural and Civil Engineering,Machine learning based models for predicting compressive strength of geopolymer concrete,36,mixed/other-AAM,prediction,none-explicit,OOD/transfer,I(data-driven),STANDARD,,
2-s2.0-86000142549,10.1016/j.conbuildmat.2025.140661,2025,Construction and Building Materials,Physics-based probabilistic analysis of corrosion initiation in alkali-activated slag concrete assisted by machine learning,12,slag,prediction,durability,UQ,I(data-driven),DEEP,,
2-s2.0-86000502729,10.1016/j.cscm.2025.e04475,2025,Case Studies in Construction Materials,Integrated machine learning and response surface methodology for comprehensive rheological characterization of low-carbon binders,12,fly-ash,optimization,none-explicit,none-detected,I(data-driven),STANDARD,,
2-s2.0-85218704200,10.1038/s41598-025-90468-4,2025,Scientific Reports,Prediction and validation of mechanical properties of self-compacting geopolymer concrete using combined machine learning methods a comparative and suitability assessment of the best analysis,13,FA-slag,classification,waste-valorization,none-detected,I(data-driven),STANDARD,,
2-s2.0-105015102171,10.17515/resm2024.354ma0716rs,2025,Research on Engineering Structures and Materials,Prediction of machine learning application in the development of novel sustainable self-compacting geopolymer concrete,7,slag;metakaolin/clay,prediction,waste-valorization,none-detected,I(data-driven),STANDARD,,
2-s2.0-105039118381,10.1016/j.advengsoft.2026.104189,2026,Advances in Engineering Software,Explainable artificial intelligence framework for predicting and minimizing CO₂ emissions in GGBFS-geopolymer concrete,0,slag,prediction,carbon,XAI,I(data-driven),DEEP,,
2-s2.0-105030249622,10.1080/21650373.2026.2629850,2026,Journal of Sustainable Cement-Based Materials,Intelligent design framework for compressive strength modeling of ultra-high-performance geopolymer concrete (UHPGC): grey wolf optimizer–integrated machine learning and experimental verification,9,mixed/other-AAM,prediction,carbon;cost;durability,XAI,I(data-driven),DEEP,,
2-s2.0-105040755822,10.32604/cmes.2026.083654,2026,CMES - Computer Modeling in Engineering and Sciences,Accurate Compressive Strength Prediction of Fly Ash Geopolymers Using Advanced Ensemble Models and Morris Analysis,1,fly-ash,optimization,carbon;waste-valorization,XAI,II(domain-features),DEEP,,
2-s2.0-105018854308,10.1016/j.ijhydene.2025.151815,2025,International Journal of Hydrogen Energy,Boosting biohydrogen yield from cheese whey through machine learning optimization of supplement-aَssisted dark fermentation,0,fly-ash,optimization,none-explicit,none-detected,I(data-driven),STANDARD,,
2-s2.0-105002259769,10.1080/10298436.2024.2427869,2025,International Journal of Pavement Engineering,Investigating the impact of various parameters on the properties of fly ash geopolymer concrete using a hybrid optimisation approach,2,FA-slag,optimization,none-explicit,none-detected,I(data-driven),STANDARD,,
2-s2.0-85206284351,10.14359/51742040,2024,ACI Materials Journal,Mixture Design for Lightweight Geopolymer Concrete,2,mixed/other-AAM,prediction,carbon,OOD/transfer,I(data-driven),DEEP,,
2-s2.0-105044305183,10.1016/j.jobe.2026.116807,2026,Journal of Building Engineering,Data-driven performance regulation of MgO-K2HPO4-SiO2 cement mortar based on a self-constructed experimental database,0,slag,optimization,none-explicit,XAI,II(domain-features),STANDARD,,
2-s2.0-85193426635,10.1016/j.jobe.2024.109557,2024,Journal of Building Engineering,Mix design strategy and optimization considering characteristic evaluation of geopolymer concrete,17,FA-slag,optimization,none-explicit,OOD/transfer,II(domain-features),STANDARD,,
2-s2.0-85210021687,10.1016/j.rinma.2024.100636,2024,Results in Materials,Temperature-dependent compressive strength modeling of geopolymer blocks utilizing glass powder and steel slag,13,FA-slag,prediction,none-explicit,none-detected,II(domain-features),STANDARD,,
2-s2.0-105007141533,10.1016/j.scp.2025.102064,2025,Sustainable Chemistry and Pharmacy,Recycling three local waste materials for optimizing the mechanical performance of fly ash-based geopolymer cement: Application of a ternary mixture design and artificial neural networks modeling,8,fly-ash,optimization,waste-valorization,none-detected,II(domain-features),STANDARD,,
2-s2.0-105026875546,10.1007/s43939-025-00308-5,2026,Discover Materials,Exploring an intelligent model to predict the compressive strength of UGGBFS based geopolymer concrete,1,FA-slag,prediction,carbon;waste-valorization,none-detected,I(data-driven),DEEP,,
2-s2.0-105043726006,10.18702/acf.2025.11.1.53,2025,Journal of Asian Concrete Federation,Data-driven investigation and multi-objective optimization design of alkali-activated concrete,4,fly-ash,multi-objective-optimization,carbon,XAI,I(data-driven),DEEP,,
2-s2.0-105041418910,10.3390/ma19112235,2026,Materials,Predicting Mechanical Strength of Alkali-Activated High-Performance Concrete Using Machine-Learning Methods,0,mixed/other-AAM,optimization,carbon;cost,none-detected,I(data-driven),DEEP,,
2-s2.0-105046252234,10.1016/j.nxmate.2026.103027,2026,Next Materials,Uncertainty-aware prediction intervals for compressive-strength estimation of geopolymer concrete,0,mixed/other-AAM,prediction+UQ,none-explicit,UQ;calibration;OOD/transfer,I(data-driven),DEEP,,
2-s2.0-105024210294,10.1038/s41598-025-27361-7,2025,Scientific Reports,AI-based modeling of CO2 footprint in geopolymer concrete production containing GGBFS as a by-product from the iron industry,0,slag,optimization,carbon;waste-valorization,XAI,II(domain-features),DEEP,,
2-s2.0-105016260554,10.1016/j.jobe.2025.114066,2025,Journal of Building Engineering,Performance optimization of alkali-activated low-calcium fly ash geopolymers: Experimental study and machine learning modeling,9,fly-ash,optimization,none-explicit,XAI,I(data-driven),STANDARD,,
2-s2.0-105042223987,10.1039/d6ta01407k,2026,Journal of Materials Chemistry A,Material characterization of aluminosilicate hydrate geopolymers using deep learning assisted tailor-made potential,0,FA-slag,prediction,waste-valorization;durability,OOD/transfer,I(data-driven),STANDARD,,
2-s2.0-105010151107,10.1007/s41062-025-02148-x,2025,Innovative Infrastructure Solutions,"Influence of cement kiln dust, volcanic pumice dust, and nano silica in heat-cured GGBS-based geopolymer concrete: experimental and predictive modeling",28,slag,prediction,durability,none-detected,I(data-driven),STANDARD,,
2-s2.0-105009337795,10.1007/s10064-025-04396-8,2025,Bulletin of Engineering Geology and the Environment,Experimental study on compressive strength of clay soil stabilized with construction and demolition waste-based geopolymer,11,stabilized-soil;recycled-aggregate,prediction,waste-valorization,none-detected,I(data-driven),STANDARD,,
2-s2.0-85202032119,10.1016/j.cemconcomp.2024.105723,2024,Cement and Concrete Composites,Knowledge-guided data-driven design of ultra-high-performance geopolymer (UHPG),42,mixed/other-AAM,multi-objective-optimization,carbon;cost;waste-valorization,XAI,III-claimed(knowledge-guided),DEEP,,
2-s2.0-85191031081,10.1007/s10853-024-09645-x,2024,Journal of Materials Science,Integrated approach to assessing strength in slag-based geopolymer mortars: experimental study and modeling with advanced techniques,3,slag,prediction,none-explicit,none-detected,I(data-driven),STANDARD,,
2-s2.0-105003233012,10.1007/s40996-025-01827-0,2026,Iranian Journal of Science and Technology - Transactions of Civil Engineering,Compressive Strength Prediction of Geopolymers Using Stacking Ensemble and Fuzzy Splitting,2,mixed/other-AAM,prediction,durability,UQ,I(data-driven),DEEP,,
2-s2.0-105020018082,10.3390/buildings15203667,2025,Buildings,Bayesian-Optimized Ensemble Models for Geopolymer Concrete Compressive Strength Prediction with Interpretability Analysis,15,mixed/other-AAM,optimization,none-explicit,XAI,I(data-driven),STANDARD,,
2-s2.0-105014473705,10.3390/su17167483,2025,Sustainability (Switzerland),Geopolymer Materials: Cutting-Edge Solutions for Sustainable Design Building,11,mixed/other-AAM,optimization,carbon;LCA;waste-valorization;durability,none-detected,I(data-driven),DEEP,,
2-s2.0-85214326477,10.1016/j.conbuildmat.2024.139853,2025,Construction and Building Materials,Filament geometry control of printable geopolymer using experimental and data driven approaches,5,fly-ash,prediction,none-explicit,XAI,I(data-driven),STANDARD,,
2-s2.0-105018209089,10.1016/j.oceram.2025.100857,2025,Open Ceramics,Machine learning for the optimization of porosity-hygroscopy correlations of porous geopolymers in indoor thermal comfort: A hybrid feature selection approach,1,mixed/other-AAM,multi-objective-optimization,none-explicit,none-detected,I(data-driven),DEEP,,
2-s2.0-85183655745,10.1007/s41939-023-00355-6,2024,"Multiscale and Multidisciplinary Modeling, Experiments and Design",A comparative analysis of tree-based machine learning algorithms for predicting the mechanical properties of fibre-reinforced GGBS geopolymer concrete,25,slag,prediction,none-explicit,none-detected,I(data-driven),STANDARD,,
2-s2.0-105012620705,10.1007/s40996-025-01979-z,2026,Iranian Journal of Science and Technology - Transactions of Civil Engineering,Machine Learning Prediction Model for Durability of Geopolymer Concrete with CDW and Artificial Aggregates under Harsh Environmental Exposure,7,recycled-aggregate,prediction,waste-valorization;durability,XAI,I(data-driven),STANDARD,,
2-s2.0-105017085569,10.1007/s42107-025-01541-2,2026,Asian Journal of Civil Engineering,Prediction of compressive strength of geopolymer concrete using optimised machine learning algorithms,2,FA-slag,prediction,none-explicit,none-detected,II(domain-features),STANDARD,,
2-s2.0-105043808411,10.32604/cmes.2026.083537,2026,CMES - Computer Modeling in Engineering and Sciences,Machine Learning Prediction of the Compressive Strength of Nano-Silica-Modified Hybrid Geopolymer Mortar,0,FA-slag;metakaolin/clay,optimization,none-explicit,none-detected,I(data-driven),STANDARD,,
2-s2.0-105001503833,10.1007/s40996-024-01569-5,2025,Iranian Journal of Science and Technology - Transactions of Civil Engineering,Estimation of Compressive Strength of Rubberised Slag Based Geopolymer Concrete Using Various Machine Learning Techniques Based Models,7,FA-slag,prediction,none-explicit,none-detected,I(data-driven),STANDARD,,
2-s2.0-105012741493,10.1080/1023666X.2025.2490782,2025,International Journal of Polymer Analysis and Characterization,Enhancing geopolymer concrete strength with sodium hydroxide using Gegenbauer graph neural networks approach,0,fly-ash,prediction,carbon,none-detected,I(data-driven),DEEP,,
2-s2.0-85205314373,10.3390/ma17184573,2024,Materials,Elemental Design of Alkali-Activated Materials with Solid Wastes Using Machine Learning,5,FA-slag,prediction,waste-valorization,XAI,I(data-driven),STANDARD,,
2-s2.0-105037025028,10.3390/polym18080959,2026,Polymers,A Hybrid Clustering–Classification Approach for Predicting Strength and Analyzing Material Composition of Geopolymers,1,mixed/other-AAM,classification,carbon,XAI,II(domain-features),DEEP,,
2-s2.0-105005547455,10.1007/s42107-025-01367-y,2025,Asian Journal of Civil Engineering,Comparative study on the mechanical properties of geopolymer concrete containing GGBS and fly ash using experimental analysis and artificial neural network,4,FA-slag,optimization,carbon,none-detected,II(domain-features),DEEP,,
2-s2.0-85199288107,10.1016/j.cscm.2024.e03530,2024,Case Studies in Construction Materials,Prediction on the freeze-thaw resistance of a one-part geopolymer stabilized soil by using deep learning method,25,one-part;FA-slag;stabilized-soil,prediction,waste-valorization;durability,XAI,I(data-driven),STANDARD,,
2-s2.0-85217008656,10.47836/pjst.33.1.18,2025,Pertanika Journal of Science and Technology,Factors Controlling Durability of Geopolymer Concretes in Chloride Determined via Growing Self-Organizing Maps,0,mixed/other-AAM,optimization,durability,none-detected,I(data-driven),STANDARD,,
