keep_id,dup_id,verdict,evidence,title_sim,year_keep,year_dup,venue,title
2-s2.0-105017085569,2-s2.0-84959516818,DISTINCT,different DOIs,0.73,2026,2015,Asian Journal of Civil Engineering,Prediction of compressive strength of geopolymer concrete using optimised machine learning algorithms
2-s2.0-105017085569,2-s2.0-85063754463,DISTINCT,different DOIs,0.60,2026,2019,Asian Journal of Civil Engineering,Prediction of compressive strength of geopolymer concrete using optimised machine learning algorithms
2-s2.0-105017085569,2-s2.0-85116622691,DISTINCT,different DOIs,0.85,2026,2022,Asian Journal of Civil Engineering,Prediction of compressive strength of geopolymer concrete using optimised machine learning algorithms
2-s2.0-105017085569,2-s2.0-85152962936,DISTINCT,different DOIs,0.81,2026,2023,Asian Journal of Civil Engineering,Prediction of compressive strength of geopolymer concrete using optimised machine learning algorithms
2-s2.0-105017085569,2-s2.0-85153629677,DISTINCT,different DOIs,0.81,2026,2023,Asian Journal of Civil Engineering,Prediction of compressive strength of geopolymer concrete using optimised machine learning algorithms
2-s2.0-105017085569,2-s2.0-85156110847,DISTINCT,different DOIs,0.74,2026,2023,Asian Journal of Civil Engineering,Prediction of compressive strength of geopolymer concrete using optimised machine learning algorithms
2-s2.0-105018191445,CR56,DUPLICATE,embedded-DOI match,0.80,2026,2025,International Journal of Applied Ceramic,Comparative study of machine learning algorithms for predicting the compressive strength of geopolymer concret
2-s2.0-105018209089,SD248,DUPLICATE,"same year+venue, sim>0.80",0.87,2025,2025,Open Ceramics,Machine learning for the optimization of porosity-hygroscopy correlations of porous geopolymers in indoor ther
2-s2.0-105019213120,CR74,DUPLICATE,embedded-DOI match,0.70,2025,2025,Journal of Structural Design and Constru,Experimental Verification for Machine-Learning Approaches in Compressive Strength Prediction of Alkali-Activat
2-s2.0-105019264834,SD130,DISTINCT,year/venue mismatch,0.78,2025,2025,Hybrid Advances,Sustainable geopolymer concrete evaluation using machine learning and PDP analysis: Comparative insights into 
2-s2.0-105020376483,CR87,DUPLICATE,embedded-DOI match,0.76,2025,2025,"Journal Wuhan University of Technology, ",Machine Learning Prediction and Feature Impact Analysis of Durability Performance of Solid Waste-Alkali Activa
2-s2.0-105020572626,SD255,DUPLICATE,"same year+venue, sim>0.80",0.90,2026,2026,Advanced Engineering Informatics,Interpretable AI-driven framework for sustainable modification of dredged sludge: A knowledge-guided approach 
2-s2.0-105021266320,SD76,DISTINCT,year/venue mismatch,0.78,2026,2026,Ain Shams Engineering Journal,Neural network-based prediction of mechanical properties in high-strength fly ash-based geopolymer mortars: a 
2-s2.0-105021995286,SD108,DUPLICATE,"same year+venue, sim>0.80",0.97,2025,2025,Results in Materials,Effect of ingredients and experimental parameter on the rheological and mechanical properties of self-compacti
2-s2.0-105022899593,SD152,DUPLICATE,"same year+venue, sim>0.80",0.82,2025,2025,Construction and Building Materials,Multi-objective optimization of recycled fine aggregate geopolymer-based grouting materials using the response
2-s2.0-105023679436,SD114,DUPLICATE,"same year+venue, sim>0.80",0.97,2025,2025,Journal of Cleaner Production,Sustainable dynamic multi-objective optimization framework of fiber-reinforced geopolymer for soils stabilizat
2-s2.0-105025718843,SD279,DUPLICATE,"same year+venue, sim>0.80",0.87,2025,2025,Journal of Materials Research and Techno,Explicit gradient boosting machine for accurate compressive strength prediction of metakaolin-based geopolymer
2-s2.0-105027891057,2-s2.0-85205235415,DISTINCT,different DOIs,0.72,2026,2024,Materials,Prediction of the Unconfined Compressive Strength of One-Part Geopolymer-Stabilized Soil Under Acidic Erosion:
2-s2.0-105027891057,CR58,DUPLICATE,embedded-DOI match,0.65,2026,2026,Materials,Prediction of the Unconfined Compressive Strength of One-Part Geopolymer-Stabilized Soil Under Acidic Erosion:
2-s2.0-105029031811,CR21,DUPLICATE,embedded-DOI match,0.87,2026,2026,Scientific Reports,Mechanical and durability performance prediction of geopolymer incorporating ferrosilicon slag and aluminum po
2-s2.0-105032671997,CR40,DUPLICATE,embedded-DOI match,0.90,2026,2026,Sustainability (Switzerland),Interpretable Machine Learning for Compressive Strength Prediction of Fly Ash-Based Geopolymer Concrete
2-s2.0-105033400440,CR62,DUPLICATE,embedded-DOI match,0.84,2026,2026,Asian Journal of Civil Engineering,Data-driven ensemble machine learning framework for reliable compressive strength prediction of alkali-activat
2-s2.0-105034205835,SD91,DUPLICATE,"same year+venue, sim>0.80",0.92,2026,2026,Cement and Concrete Research,Quantifying resolution-dependent microstructure and pore-network topology in LDH-modified alkali-activated sla
2-s2.0-105038428124,SD133,DUPLICATE,"same year+venue, sim>0.80",0.97,2026,2026,Journal of Constructional Steel Research,Compression performance of square concrete-filled steel tube columns with steel-fibre-reinforced geopolymer co
2-s2.0-105041155252,SD232,DUPLICATE,"same year+venue, sim>0.80",0.97,2026,2026,Construction and Building Materials,Parametric insights into carbonate activated GGBS-FA geopolymer concrete incorporating recycled concrete aggre
2-s2.0-105041330738,CR23,DUPLICATE,embedded-DOI match,0.67,2026,2026,Rocznik Ochrona Srodowiska,Data-Driven Prediction of CO2 Emissions in Low-Carbon Geopolymer Concrete Using Integrated Experimental Analys
2-s2.0-105041418910,CR85,DUPLICATE,embedded-DOI match,0.93,2026,2026,Materials,Predicting Mechanical Strength of Alkali-Activated High-Performance Concrete Using Machine-Learning Methods
2-s2.0-105041916976,CR45,DUPLICATE,embedded-DOI match,0.94,2026,2026,Scientific Reports,"Explainable machine learning based optimization of strength, durability, and carbon efficiency of fly ash–GGBS"
2-s2.0-105043808411,CR54,DUPLICATE,embedded-DOI match,0.80,2026,2026,CMES - Computer Modeling in Engineering ,Machine Learning Prediction of the Compressive Strength of Nano-Silica-Modified Hybrid Geopolymer Mortar
2-s2.0-105044047437,SP19,DUPLICATE,"same year+venue, sim>0.80",0.89,2026,2026,Scientific Reports,Evaluate the compressive strength of fiber-reinforced geopolymer concrete incorporating ground granulated blas
2-s2.0-105044605134,SD239,DUPLICATE,"same year+venue, sim>0.80",0.96,2026,2026,Construction and Building Materials,"Bacillus megaterium-incorporated GGBS geopolymer mortar: Explainable ensemble machine learning, multi-objectiv"
2-s2.0-84959516818,2-s2.0-85063754463,DISTINCT,different DOIs,0.66,2015,2019,Materials Research Innovations,Prediction of compressive strength of geopolymer composites using an artificial neural network
2-s2.0-84959516818,2-s2.0-85116622691,DISTINCT,different DOIs,0.72,2015,2022,Materials Research Innovations,Prediction of compressive strength of geopolymer composites using an artificial neural network
2-s2.0-84959516818,2-s2.0-85152962936,DISTINCT,different DOIs,0.63,2015,2023,Materials Research Innovations,Prediction of compressive strength of geopolymer composites using an artificial neural network
2-s2.0-84959516818,2-s2.0-85153629677,DISTINCT,different DOIs,0.67,2015,2023,Materials Research Innovations,Prediction of compressive strength of geopolymer composites using an artificial neural network
2-s2.0-84959516818,2-s2.0-85156110847,DISTINCT,different DOIs,0.75,2015,2023,Materials Research Innovations,Prediction of compressive strength of geopolymer composites using an artificial neural network
2-s2.0-85063754463,2-s2.0-85152962936,DISTINCT,different DOIs,0.61,2019,2023,Applied Sciences (Switzerland),Prediction of compressive strength of geopolymer concrete using entirely steel slag aggregates: Novel hybrid a
2-s2.0-85063754463,2-s2.0-85153629677,DISTINCT,different DOIs,0.60,2019,2023,Applied Sciences (Switzerland),Prediction of compressive strength of geopolymer concrete using entirely steel slag aggregates: Novel hybrid a
2-s2.0-85063754463,2-s2.0-85156110847,DISTINCT,different DOIs,0.63,2019,2023,Applied Sciences (Switzerland),Prediction of compressive strength of geopolymer concrete using entirely steel slag aggregates: Novel hybrid a
2-s2.0-85098448212,2-s2.0-85107533504,DISTINCT,year/venue mismatch,0.68,2020,2021,Journal of Green Engineering,Experimental investigation and artificial neural network prediction of fiber admixed flyash based sustainable 
2-s2.0-85107011496,CR75,DUPLICATE,embedded-DOI match,0.81,2021,2021,Applied Sciences (Switzerland),Machine learning approaches for prediction of the compressive strength of alkali activated termite mound soil
2-s2.0-85110671026,2-s2.0-85141866607,DISTINCT,different DOIs,0.86,2021,2022,Cement and Concrete Composites,Predicting the geopolymerization process of fly ash-based geopolymer using deep long short-term memory and mac
2-s2.0-85110671026,CR24,DISTINCT,year/venue mismatch,0.76,2021,2022,Cement and Concrete Composites,Predicting the geopolymerization process of fly ash-based geopolymer using deep long short-term memory and mac
2-s2.0-85116312721,2-s2.0-85142350982,DISTINCT,different DOIs,0.67,2021,2022,Polymers,Prediction of geopolymer concrete compressive strength using novel machine learning algorithms
2-s2.0-85116312721,2-s2.0-85185303470,DISTINCT,different DOIs,0.80,2021,2024,Polymers,Prediction of geopolymer concrete compressive strength using novel machine learning algorithms
2-s2.0-85116622691,2-s2.0-85152962936,DISTINCT,different DOIs,0.74,2022,2023,Structural Concrete,Prediction of compressive strength of geopolymer concrete using machine learning techniques
2-s2.0-85116622691,2-s2.0-85153629677,DISTINCT,different DOIs,0.83,2022,2023,Structural Concrete,Prediction of compressive strength of geopolymer concrete using machine learning techniques
2-s2.0-85116622691,2-s2.0-85156110847,DISTINCT,different DOIs,0.81,2022,2023,Structural Concrete,Prediction of compressive strength of geopolymer concrete using machine learning techniques
2-s2.0-85128429477,2-s2.0-85154537456,DISTINCT,different DOIs,0.78,2022,2023,Polymers,Prediction of the Compressive Strength of Fly Ash Geopolymer Concrete by an Optimised Neural Network Model
2-s2.0-85140472829,SD201,DUPLICATE,"same year+venue, sim>0.80",0.92,2022,2022,Construction and Building Materials,Determination of compressive strength of perlite-containing slag-based geopolymers and its prediction using ar
2-s2.0-85141866607,CR24,DUPLICATE,embedded-DOI match,0.91,2022,2022,Buildings,Predicting the Geopolymerization Process of Fly-Ash-Based Geopolymer Using Machine Learning
2-s2.0-85142350982,2-s2.0-85185303470,DISTINCT,different DOIs,0.76,2022,2024,Civil and Environmental Engineering,PREDICTION OF GEOPOLYMER CONCRETE COMPRESSIVE STRENGTH UTILIZING ARTIFICIAL NEURAL NETWORK AND NONDESTRUCTIVE 
2-s2.0-85151409429,SD184,DUPLICATE,"same year+venue, sim>0.80",0.90,2023,2023,Construction and Building Materials,"Estimation of strength, rheological parameters, and impact of raw constituents of alkali-activated mortar usin"
2-s2.0-85152962936,2-s2.0-85153629677,DISTINCT,different DOIs,0.76,2023,2023,Journal of Building Engineering,Prediction of compressive strength of geopolymer concrete using a hybrid ensemble of grey wolf optimized machi
2-s2.0-85152962936,2-s2.0-85156110847,DISTINCT,different DOIs,0.64,2023,2023,Journal of Building Engineering,Prediction of compressive strength of geopolymer concrete using a hybrid ensemble of grey wolf optimized machi
2-s2.0-85153629677,2-s2.0-85156110847,DISTINCT,different DOIs,0.76,2023,2023,Asian Journal of Civil Engineering,Prediction of compressive strength of geopolymer concrete using random forest machine and deep learning
2-s2.0-85153629677,CR39,DUPLICATE,embedded-DOI match,0.90,2023,2023,Asian Journal of Civil Engineering,Prediction of compressive strength of geopolymer concrete using random forest machine and deep learning
2-s2.0-85164237068,SD295,DUPLICATE,"same year+venue, sim>0.80",0.94,2023,2023,Construction and Building Materials,Effects of binder proportion and curing condition on the mechanical characteristics of volcanic ash- and slag-
2-s2.0-85165117999,SD148,DUPLICATE,"same year+venue, sim>0.80",0.89,2023,2023,Construction and Building Materials,Structural assessment of Basalt FRP reinforced self-compacting geopolymer concrete using artificial neural net
2-s2.0-85175425301,2-s2.0-85213355509,DISTINCT,different DOIs,0.96,2023,2025,Innovation and Emerging Technologies,Predicting compressive strength of geopolymer concrete using machine learning
2-s2.0-85175522591,SD297,DUPLICATE,"same year+venue, sim>0.80",0.94,2023,2023,Materials Today Communications,Influence of chemical constituents of binder and activator in predicting compressive strength of fly ash-based
2-s2.0-85184784947,SD113,DUPLICATE,"same year+venue, sim>0.80",0.86,2024,2024,Journal of Hazardous Materials,Machine learning-based prediction of heavy metal immobilization rate in the solidification/stabilization of mu
2-s2.0-85185324121,SD304,DUPLICATE,"same year+venue, sim>0.80",0.92,2024,2024,Journal of Cleaner Production,Influence of treated recycled concrete aggregate and modified mixing approach on the mechanical properties of 
2-s2.0-85186632565,CR88,DUPLICATE,embedded-DOI match,0.80,2024,2024,Multiscale and Multidisciplinary Modelin,Metaheuristic optimization of machine learning models for strength prediction of high-performance self-compact
2-s2.0-85189751976,SD111,DUPLICATE,"same year+venue, sim>0.80",0.89,2024,2024,Case Studies in Construction Materials,Predictive modelling of compressive strength of fly ash and ground granulated blast furnace slag based geopoly
2-s2.0-85198097710,SD15,DUPLICATE,"same year+venue, sim>0.80",0.82,2024,2024,Construction and Building Materials,Evaluation and prediction of slag-based geopolymer's compressive strength using design of experiment (DOE) app
2-s2.0-85198398698,CR63,DUPLICATE,embedded-DOI match,0.80,2024,2024,Materials,Efficient Compressive Strength Prediction of Alkali-Activated Waste Materials Using Machine Learning
2-s2.0-85199317809,CR22,DUPLICATE,embedded-DOI match,0.84,2024,2024,Transportation Infrastructure Geotechnol,Predictive Modeling of Geopolymer Concrete Properties Incorporating Phosphogypsum and Slag Using Machine Learn
2-s2.0-85199388068,SD145,DUPLICATE,"same year+venue, sim>0.80",0.92,2024,2024,Materials Today Communications,AI-driven design for the compressive strength of ultra-high performance geopolymer concrete (UHPGC): From expl
2-s2.0-85199550255,SD273,DUPLICATE,"same year+venue, sim>0.80",0.97,2024,2024,Case Studies in Construction Materials,Comparative study on the prediction of the unconfined compressive strength of the one-part geopolymer stabiliz
2-s2.0-85199769009,CR99,DUPLICATE,embedded-DOI match,0.77,2024,2024,Materials,Performance Characterization and Composition Design Using Machine Learning and Optimal Technology for Slag–Des
2-s2.0-85204787307,SD29,DUPLICATE,"same year+venue, sim>0.80",0.95,2024,2024,Results in Engineering,Exploring the rheological and mechanical properties of alkali activated mortar incorporating waste foundry san
2-s2.0-85205314373,CR80,DUPLICATE,embedded-DOI match,0.91,2024,2024,Materials,Elemental Design of Alkali-Activated Materials with Solid Wastes Using Machine Learning
2-s2.0-85210148745,CR93,DUPLICATE,embedded-DOI match,0.72,2025,2024,Archives of Civil and Mechanical Enginee,Active learning on stacked machine learning techniques for predicting compressive strength of alkali-activated
2-s2.0-85213081122,CR31,DUPLICATE,embedded-DOI match,0.95,2024,2024,Buildings,Digital Industrial Design Method in Architectural Design by Machine Learning Optimization: Towards Sustainable
2-s2.0-85213890304,CR20,DUPLICATE,embedded-DOI match,0.89,2024,2024,Evergreen,Predicting Compressive Strength and Density of Ecuadorian Natural Mordenite-based Geopolymer Using Machine Lea
